Key,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
mind.abuse,hint_mind_abuse,Меня оскорбили!,I have been insulted!,I have been insulted!,Urazili mě!,Insultaram-me!,¡Me han insultado!,Obrażono mnie!,我被侮辱了！,我被侮辱了！,侮辱された！,모욕당했어!,Ich wurde beleidigt!,J'ai reçu des insultes !,Ho ricevuto un insulto!,Bana hakaret edildi!,Megsértettek!,Мене образили!,Tôi đã bị xúc phạm!
mind.agnostic,hint_mind_agnostic,Агностик,Agnostic,Agnostic,Agnostik,Agnosticismo,Agnóstico,Agnostycyzm,不可知论者,懷疑論者,無神論者,불가지론자,Agnostiker,Agnostique,Agnosticismo,Agnostik,Agnosztikus,Агностик,Vô thần
mind.battle_commander_bonus,hint_mind_battle_commander_bonus,Навыки командира,Commander skills,Commander skills,Velitelské schopnosti,Habilidades de comandante,Habilidades de comandante,Umiejętności dowódcze,指挥官技能,指揮能力,指揮官のスキル,지휘관 스킬,Kommandanten-Fähigkeiten,Compétences de commandement,Abilità comandante,Kumanda becerileri,Parancsnoki képességek,Командирські навички,Kỹ năng chỉ huy
mind.battle_commander_dead,hint_mind_battle_commander_dead,Мой командир убит!,My commander is dead!,My commander is dead!,Můj velitel je mrtvý!,Meu comandante está morto!,¡Mi comandante está muerto!,Dowódca poległ!,我的指挥官阵亡了！,我的指揮官陣亡了！,指揮官が死んだ！,우리 지휘관이 사망했다!,Mein Kommandant ist tot!,Notre capitaine a perdu la vie !,Il mio comandante è morto!,Kumandanım öldü!,A parancsnokom meghalt!,Мій командир загинув!,Chỉ huy của tôi đã chết!
mind.battle_commander_retreat,hint_mind_battle_commander_retreat,Мой командир бежал!,My commander has fled!,My commander has fled!,Můj velitel utekl!,Meu comandante fugiu!,¡Mi comandante ha huido!,Dowódca uciekł!,我的指挥官逃跑了！,我的指揮官逃跑了！,指揮官が逃亡した！,우리 지휘관이 도망쳤다!,Mein Kommandant ist geflohen!,Notre capitaine a fui !,Il mio comandante è fuggito!,Kumandanım kaçtı!,A parancsnokom elmenekült!,Мій командир утік!,Chỉ huy của tôi đã bỏ trốn!
mind.battle_enemy_commander_dead,hint_mind_battle_enemy_commander_dead,Командир врага убит!,Enemy commander killed!,Enemy commander killed!,Nepřátelský velitel je mrtvý!,O comandante inimigo está morto!,¡El comandante enemigo está muerto!,Wrogi dowódca poległ!,已击杀敌方指挥官！,敵隊指揮官陣亡了！,敵の指揮官が死んだ！,적 지휘관이 사망했다!,Feindlicher Kommandant tot!,Le capitaine adverse est mort !,Il comandante nemico è stato ucciso!,Düşman kumandan öldürüldü!,Az ellenséges parancsnok meghalt!,Ворожого командира вбито!,Chỉ huy kẻ thù đã bị giết!
mind.battle_enemy_commander_retreat,hint_mind_battle_enemy_commander_retreat,Командир противника бежал!,Enemy commander has fled!,Enemy commander has fled!,Nepřátelský velitel utekl!,O comandante inimigo fugiu!,¡El comandante enemigo ha huido!,Wrogi dowódca uciekł!,敌方指挥官逃跑了！,敵隊指揮官逃跑了！,敵の指揮官が逃亡した！,적 지휘관이 도망쳤다!,Feindlicher Kommandant geflohen!,Le capitaine adverse a fui !,Il comandante nemico è fuggito!,Düşman kumandan kaçtı!,Az ellenséges parancsnok elmenekült!,Ворожий командир утік!,Chỉ huy kẻ thù đã bỏ trốn!
mind.battle_enemy_soldier_retreat,hint_mind_battle_enemy_soldier_retreat,Воин противника бежал!,Enemy warrior has fled!,Enemy warrior has fled!,Nepřátelský válečník utekl!,Um guerreiro inimigo fugiu!,¡Un guerrero enemigo ha huido!,Wrogi wojownik uciekł!,敌方战士逃跑了！,敵隊戰士逃跑了！,敵の戦士が逃亡した！,적 전사가 도망쳤다!,Feindlicher Krieger geflohen!,Un soldat ennemi s'est enfui !,Un guerriero nemico è fuggito!,Düşman savaşçı kaçtı!,Az ellenséges harcos elmenekült!,Ворожий воїн утік!,Chiến binh kẻ thù đã bỏ trốn!
mind.battle_loose,hint_mind_battle_loose,Поражение в битве,Defeat in battle,Defeat in battle,Porážka v bitvě,Derrota na batalha,Derrota en batalla,Klęska w bitwie,战斗失败,戰鬥落敗了,戦闘での敗北,전투 패배,Niederlage in der Schlacht,Bataille perdue,Sconfitta in battaglia,Savaş yenilgisi,Vereség a harcmezőn,Поразка в битві,Thất bại trong trận chiến
mind.battle_soldier_retreat,hint_mind_battle_soldier_retreat,Воин из отряда бежал!,Warrior from the squad has fled!,Warrior from the squad has fled!,Válečník z čety utekl!,Um guerreiro do esquadrão fugiu!,¡Un guerrero de la escuadra ha huido!,Wojownik z oddziału uciekł!,部队中的战士逃跑了！,同隊戰士逃跑了！,部隊の戦士が逃亡した！,분대 전사가 도망쳤다!,Krieger aus dem Trupp geflohen!,Un soldat de l'escouade s'est enfui !,Un guerriero della squadra è fuggito!,Bölük savaşçısı kaçtı!,Az osztag egy harcosa elmenekült!,Воїн із загону втік!,Chiến binh trong đội quân đã bỏ trốn!
mind.battle_soldier_surrender,,Воин из отряда сдался!,Warrior from the squad has surrendered!,Warrior from the squad has surrendered!,Válečník z čety se vzdal!,Um guerreiro do esquadrão se rendeu!,¡Un guerrero de la escuadra se ha rendido!,Wojownik z oddziału się poddał!,部队中的战士投降了！,同隊戰士投降了！,部隊の戦士が投降した！,분대 전사가 항복했다!,Krieger aus dem Trupp hat sich ergeben!,Un soldat de l'escouade s'est rendu !,Un guerriero della squadra si è arreso!,Bölük savaşçısı teslim oldu!,Az osztag egy harcosa megadta magát!,Воїн із загону здався!,Chiến binh trong đội quân đã đầu hàng!
mind.battle_soldier_dead,,Воин из отряда убит!,Warrior from the squad has been killed!,Warrior from the squad has been killed!,Válečník z čety byl zabit!,Um guerreiro do esquadrão foi morto!,¡Un guerrero de la escuadra ha caído!,Wojownik z oddziału poległ!,部队中的战士被杀了！,同隊戰士陣亡了！,部隊の戦士が殺された！,분대 전사가 사망했다!,Krieger aus dem Trupp gefallen!,Un soldat de l'escouade est mort !,Un guerriero della squadra è stato ucciso!,Bölük savaşçısı öldürüldü!,Az osztag egy harcosa meghalt!,Воїн із загону загинув!,Chiến binh trong đội quân đã bị giết!
