Key,Russian,English,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
village.1,Белогорье,Ashford,Popelbrod,Vaucinzento,Vado de la Ceniza,Popielcowo,艾什福德,阿什福德,アシュフォード,애시퍼드,Aschfurt,Gué cendré,Guado Cinereo,,Hamurév,Ешфорд,Cổng Tro
village.2,Березняк,Blackwood,Černoles,Bosque Negro,Bosque Negro,Czarnolas,布莱克伍德,柏萊富,ブラックウッド,블랙우드,Schwarzwald,Bois noir,Bosco Cupo,,Feketeliget,Блеквуд,Rừng Đen
village.3,Боровичи,Bramblebrook,Pramenosten,Córrego Sarçal,Arroyo Espino,Cierniotok,莓溪镇,布拉姆布爾溪,ブランブルブルック,브램블브룩,Brombach,Mûruisseau,Rivosterpo,,Szedresvíz,Брамблбрук,Suối Gai
village.4,Брянь,Brookshire,Potokov,Vila Ribeira,Condado del Arroyo,Strumienisko,潺溪郡,布魯克郡,ブルックシャイアー,브룩샤이어,Bachtal,Ru du comté,Contea Alvea,,Csermelypagony,Брукшир,Đất Suối
village.5,Верещагино,Casterly,Hradín,Castelar,Casterly,Casterly,凯斯特利,卡斯特利,キャストリー,캐스털리,Burgheim,Castral,Granitia,,Veteményes,Кастерлі," Casterly"
village.6,Вишневка,Darkwater,Temnovod,Sombrágua,Agua Oscura,Wodocień,黑水镇,暗水鎮,ダークウォーター,다크워터,Schwarzwasser,Sombreau,Acquascura,,Setétvíz,Дарквотер,Nước Tối
village.7,Воронежка,Deerhaven,Jelenice,Refúgio dos Cerdos,Refugio del Venado,Poroże,鹿港,鹿境鎮,ディアヘイブン,디어헤이븐,Hirschhausen,Havre au cerf,Portocervo,,Őzrév,Діргевен,Nơi Hươu Về
village.8,Вязьмичи,Hollow,Dutín,Entremontes,Hondonada,Zapadlina,寂声谷,山谷,ホロー,홀로,Kuhle,La souche,Terravacua,,Aszó,Голлоу,Thung Lũng
village.9,Глухово,Dunwich,Dunín,Vila Vertente,Dunwich,Dunwich,丹威治,敦威治,ダンウィッチ,던위치,Dunkelfeste,Louvet,Borgo Antico,,Dunwich,Данвіч,Dunwich
village.10,Голенищево,Eldergrove,Starohvozd,Arvoredo Longevus,Arboleda Antigua,Kurchanisko,艾德格罗夫,埃爾德格羅夫,エルダーグローブ,엘더그로브,Hollerhain,Boissureau,Selvantica,,Bodzás,Елдергроув,Rừng Cổ Thụ
village.11,Горохово,Emberfall,Jantařín,Quedachama,Ascua,Bursztynospad,安珀法尔,餘燼鎮,エンバーフォール,엠버폴,Bernfall,Chutebraise,Valbollente,,Zsarátnok,Емберфол,Thác Tro Tàn
village.12,Грибово,Evermere,Pouzelov,Lago Perene,Evermere,Wiecznisko,平湖镇,埃弗米爾,エバーメア,에버미어,Immermoor,Maréternelle,Lago Eterno,,Pusztavég,Евермер,Hồ Vĩnh Cửu
