Key,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
opinion_mind_interest.hint_title,,Интерес: {interest},Interest: {interest},Interest: {interest},Zájem: {interest},Interesse: {interest},Interés: {interest},Zainteresowanie: {interest},兴趣：{interest},興趣：{interest},関心：{interest},관심: {interest},Interesse: {interest},Intérêt : {interest},Interesse: {interest},İlgi: {interest},Érdeklődés: {interest},Зацікавленість: {interest},Sở Thích: {interest}
opinion_mind_interest.zodiak_signs,,Запах,Smell,Smell,Vůně,Cheiro,Olor,Zapach,气味,體味,匂い,냄새,Geruch,Odeur,Odore,Koku,Szag,Запах,Mùi Hương
opinion_mind_interest.beauty,,Внешность,Appearance,Appearance,Vzhled,Aparência,Aspecto,Wygląd,外貌,外貌,外見,외모,Erscheinungsbild,Apparence,Aspetto,Görünüş,Kinézet,Зовнішність,Ngoại Hình
opinion_mind_interest.age,,Очарование юности,Сharm of youth,Сharm of youth,Kouzlo mládí,Charme de juventude,Encanto de la juventud,Urok młodości,青春的魅力,青春魅力,若さの魅力,젊음의 매력,Reiz der Jugend,Charme de la jeunesse,Fascino della gioventù,Gençlik cazibesi,Fiatalos báj,Молодечий шарм,Sự Quyến Rũ Của Tuổi Trẻ
opinion_mind_interest.drank,,Влияние алкоголя,Influence of alcohol,Influence of alcohol,Vliv alkoholu,Influência do álcool,Influencia del alcohol,Wpływ alkoholu,酒精的影响,酒精影響,アルコールの影響,술의 영향,Alkoholeinfluss,Influence de l'alcool,Influenza degli alcolici,Alkol etkisi,Alkoholos befolyásoltság,Вплив алкоголю,Tác hại của rượu
opinion_mind_interest.love,,Влюблён,In love,In love,Zamilovanost,Amando,Enamoramiento,Kocha,恋爱中,愛戀,恋愛中,사랑에 빠짐,Verliebt,Ivre d'amour,Amore,Âşık,Szerelmes,Закоханість,Đang Yêu
opinion_mind_interest.religious_fan,,Религиозные разногласия,Religious disagreements,Religious disagreements,Náboženské neshody,Desavenças religiosas,Diferencias religiosas,Nieporozumienia religijne,宗教分歧,信仰歧異,宗教上の意見の不一致,종교 불일치,Religiöse Differenzen,Désaccords religieux,Dissensi religiosi,Dinî anlaşmazlık,Vallási nézeteltérések,Релігійні суперечності,Xung Đột Tôn Giáo
opinion_mind_interest.scars,,Шрамы,Scars,Scars,Jizvy,Cicatrizes,Cicatrices,Blizny,伤疤,疤痕,傷,흉터,Narben,Cicatrices,Cicatrici,Yara izleri,Hegek,Шрами,Vết sẹo
opinion_mind_interest.ugly,,Изуродованный,Disfigured,Disfigured,Znetvoření,Desfiguração,Desfiguración,Oszpecenie,破相,毀容,醜い,신체 훼손,Entstellt,Visage balafré,Sfiguramento,Görünümünü etkileyen yara izleri,Torz,Спотворення,Bị Biến Dạng
opinion_mind_interest.romantic,,Потребность в сексе,Need for sex,Need for sex,Potřeba sexu,Necessidade de sexo,Necesidad de sexo,Potrzeba seksu,性需求,性慾高漲,性行為への欲求,성관계 욕구,Verlangen nach Sex,Besoin de forniquer,Bisogno di sesso,Cinsel ihtiyaç,Szex szükséglete,Потреба сексу,Nhu Cầu Tình Dục
opinion_mind_interest.opinion,,Отношения,Relationships,Relationships,Vztahy,Relacionamentos,Relaciones,Stosunki,关系,關係,関係性,관계,Beziehungen,Relations,Rapporti,İlişkiler,Kapcsolatok,Взаємини,Mối Quan Hệ
