Key,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
trait.hint.risk_of_infection,,Остаётся риск заражения.,Risk of infection remains.,Risk of infection remains.,Riziko infekce zůstává.,Ainda há risco de infecção.,El riesgo de infección permanece.,Występuje ryzyko zakażenia.,感染风险仍然存在。,仍有感染風險。,感染リスクは残ります。,감염 위험 잔존,Infektionsrisiko bleibt bestehen.,Les risques d'infection persistent.,Il rischio di infezione resta,Enfeksiyon riski devam ediyor,A fertőzésveszély továbbra is fennáll.,Залишається ризик інфекції.,Rủi ro nhiễm trùng còn lại.
trait.infertility,,Климакс,Menopause,Menopause,Menopauza,Menopausa,Menopausia,Menopauza,更年期,停經,更年期障害,폐경기,Wechseljahre,Ménopause,Menopausa,Menopoz,Menopauza,Менопауза,Mãn kinh
trait.beauty_beautyful,,Красивый,Beautiful,Beautiful,Krása,Beleza,Belleza,Piękno,美丽,相貌出眾,美しい,아름다움,Schön,Charme,Bellezza,Güzel,Gyönyörű,Врода,Xinh đẹp
trait.beauty_pretty,,Симпатичный,Attractive,Attractive,Přitažlivost,Atração,Atractivo,Atrakcyjność,有吸引力,引人矚目,魅力的,매력적,Attraktiv,Beauté,Fascino,Çekici,Vonzó,Привабливість,Hấp dẫn
trait.beauty_ugly,,Некрасивый,Unattractive,Unattractive,Nepřitažlivost,Feiura,Falta de atractivo,Nieatrakcyjność,无吸引力,不受矚目,不細工,비호감,Unattraktiv,Laideur,Bruttezza,Çirkin,Nem vonzó,Непривабливість,Kém hấp dẫn
trait.beauty_unpretty,,Несимпатичный,Homely,Homely,Prostota,Sem graça,Vulgar,Banalna uroda,相貌平平,其貌不揚,可愛くない,못생김,Hässlich,Hideur,Sgradevolezza,Alımsız,Csúnyácska,Посередність,Xấu xí
trait.beer_addiction,,Алкогольная зависимость,Alcohol dependence,Alcohol dependence,Závislost na alkoholu,Alcoolismo,Dependencia del alcohol,Alkoholizm,酒精依赖,酒精依賴,アルコール依存症,술 의존증,Alkoholabhängigkeit,Alcoolisme,Dipendenza da alcolici,Alkol bağımlısı,Alkoholfüggőség,Алкогольна залежність,Nghiện rượu
trait.beer_hangover,,Похмелье,Hangover,Hangover,Kocovina z piva,Ressaca,Resaca de cerveza,Kac od piwa,宿醉,宿醉,二日酔い,숙취,Verkatert,Gueule de bois,Sbornia,Akşamdan kalma,Sör okozta másnaposság,Пивне похмілля,Cơn đau đầu sau khi uống rượu
trait.blindness,,Слепота,Blinded,Blinded,Slepota,Cegueira,Ceguera,Ślepota,失明,失明,盲目,맹인,Erblindet,Perte de la vision,Cecità,Kör,Megvakított,Сліпота,Bị mù
trait.blood_poisoning,,Гангрена,Gangrene,Gangrene,Sněť,Gangrena,Gangrena,Gangrena,坏疽,壞疽,壊疽,괴저,Wundbrand,Gangrène,Cancrena,Kangren,Üszkösödés,Гангрена,Bệnh hoại tử
trait.bruise,,Ушиб,Bruise,Bruise,Modřina,Hematoma,Moratón,Siniak,淤伤,瘀傷,あざ,타박상,Kratzer,Hématome,Contusione,Morluk,Zúzódás,Синець,Vết bầm
trait.bruise_light,,Легкий синяк,Minor bruise,Minor bruise,Malá modřina,Hematoma leve,Moratón pequeño,Mały siniak,轻微淤伤,輕微瘀傷,軽度のあざ,경미한 타박상,Kleiner Kratzer,Bleu,Contusione lieve,Küçük morluk,Kisebb zúzódás,Маленький синець,Vết bầm nhỏ
trait.burglary,,Кража со взломом,Burglary,Burglary,Vloupání,Arrombamento,Robo,Włamanie,入室盗窃,入室竊盜,強盗,절도,Einbruch,Tentative de cambriolage,Furto,Hırsızlık,Betörés,Крадіжка зі зломом,Trộm cắp
trait.burn_heavy,,Тяжелый ожог,Severe burn,Severe burn,Závažné popáleniny,Queimadura grave,Quemadura grave,Poważne oparzenie,严重烧伤,嚴重燒傷,重度の火傷,심한 화상,Schwere Verbrennung,Brûlure grave,Ustione grave,Şiddetli yanık,Súlyos égés,Тяжкі опіки,Bỏng nặng
trait.burn_light,,Легкий ожог,Minor burn,Minor burn,Malé popáleniny,Queimadura leve,Quemadura leve,Lekkie oparzenie,轻微烧伤,輕微燒傷,軽度の火傷,경미한 화상,Leichte Verbrennung,Brûlure mineure,Ustione lieve,Küçük yanık,Kisebb égés,Легкі опіки,Bỏng nhẹ
trait.burn_middle,,Средний ожог,Moderate burn,Moderate burn,Střední popáleniny,Queimadura moderada,Quemadura moderada,Umiarkowane oparzenie,中度烧伤,中度燒傷,普通の火傷,보통 화상,Mäßige Verbrennung,Brûlure modérée,Ustione moderata,Orta yanık,Közepes égés,Опіки середньої тяжкості,Bỏng vừa
trait.character_attack,,Нападение на лорда,Attack on a lord,Attack on a lord,Útok na lorda,Ataque a um nobre,Ataque a un señor,Atak na lorda,攻击领主,攻擊貴族,領主への襲撃,영주 공격,Angriff auf einen Lord,Attaque de noble,Attacco a un nobile,Asilzadeye saldırı,Támadás egy nemes ellen,Напад на вельможу,Tấn công vào một lãnh chúa
trait.cut,,Порез,Cut,Cut,Pořezání,Corte,Corte,Rozcięcie,割伤,割傷,切り傷,자상,Schnittwunde,Coupure,Taglio,Kesik,Vágás,Поріз,Cắt
trait.cut_down,,Отрубленная голова,Decapitated head,Decapitated head,Useknutá hlava,Decapitação,Cabeza cortada,Ścięta głowa,斩下的头颅,人頭落地,切断された頭部,참수,Abgetrennter Kopf,Décapitation,Testa decapitata,Kesilmiş kafa,Levágott fej,Відрубана голова,Đầu bị chặt
trait.dead,,Мертвый,Dead,Dead,Mrtví,Mortos,Muerto,Nie żyje,死亡,死亡,死亡,사망,Tot,Mort,Morte,Ölü,Halott,Загибель,Chết
