Key,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
activity_state.ambush_panic.go_to,"ТЕКСТ ДОЛЖЕН ОТВЕЧАТЬ НА ВОПРОС - ""ЧТО ДЕЛАЕТ""",Убегает от опасности,Escapes danger,Escapes danger,Uniká nebezpečí,Escapando do perigo,Escapa del peligro,Ucieka przed zagrożeniem,逃离危险,逃離危險中,危機から逃れる,위험 탈출,Flieht vor der Gefahr,Échappe au danger,Fugge al pericolo,Tehlikeden kaçıyor,Megmenekült a veszélyből,Тікає від небезпеки,Thoát khỏi nguy hiểm
activity_state.ambush_panic.waiting,,Переживает приступ паники,Experiencing a panic attack,Experiencing a panic attack,Prožívá záchvat paniky,Sofrendo um ataque de pânico,Sufriendo un ataque de pánico,Doświadcza ataku paniki,经历恐慌发作,陷入精神恐慌,パニック発作を経験する,공황발작 중,Hat eine Panikattacke,Subit une crise de panique,Ha un attacco di panico,Panik atak geçiriyor,Pánikrohama volt,Переживає напад паніки,Trải qua cơn hoảng loạn
activity_state.ambush_prepare,,Готовится к атаке,Preparing for an attack,Preparing for an attack,Připravuje se na útok,Preparando-se para um ataque,Preparándose para un ataque,Przygotowuje się do ataku,准备攻击,準備發動攻擊,攻撃に備える,공격 준비 중,Bereitet sich auf einen Angriff vor,Se prépare à une attaque,Si prepara all'attacco,Saldırıya hazırlanıyor,Támadásra készül,Готується до нападу,Chuẩn bị cho một cuộc tấn công
activity_state.atm.go_to,,Идет переносить тело,Goes to carry the body,Goes to carry the body,Jde odnést tělo,Indo carregar o corpo,Va a cargar con el cuerpo,Idzie przenieść ciało,前去搬运尸体,正要去搬運屍體,遺体を運びに行く,시체를 나르러 감,Holt die Leiche,S'apprête à transporter le corps,Va a recuperare il corpo,Birini taşımaya gidiyor,Megy cipelni a tetemet,Збирається нести тіло,Đi khiêng thi thể
activity_state.atm.process,,Несет тело,Carrying the body,Carrying the body,Nese tělo,Carregando o corpo,Cargando el cuerpo,Niesie ciało,搬运尸体,搬運屍體中,遺体を運ぶ,시체 나르는 중,Trägt die Leiche,Transporte le corps,Trasporta il corpo,Birini taşıyor,Cipeli a tetemet,Несе тіло,Khiêng thi thể
activity_state.battle_follow_enemy,,Преследует противника,Pursuing the enemy,Pursuing the enemy,Pronásleduje nepřítele,Perseguindo o inimigo,Persiguiendo al enemigo,Ściga wroga,追击敌人,追擊敵人中,敵を追う,적을 쫓는 중,Verfolgt den Feind,Poursuit l'ennemi,Insegue il nemico,Düşmanı takip ediyor,Üldözi az ellenséget,Женеться за ворогом,Theo đuổi kẻ thù
activity_state.battle_process,,Сражается,Fighting,Fighting,Bojuje,Lutando,Luchando,Walczy,战斗,戰鬥中,戦う,전투 중,Kämpft,Se bat,Combatte,Savaşıyor,Harcol,Б'ється,Chiến đấu
activity_state.battle_squad_commander,,Командует отрядом,Commanding a squad,Commanding a squad,Velí četě,Comandando um esquadrão,Liderando una escuadra,Dowodzi oddziałem,指挥一支部队,指揮部隊,部隊を指揮する,분대 명령 중,Befehligt einen Trupp,Dirige une escouade,Comanda una squadra,Bir bölüğü komuta ediyor,Egy osztag parancsnoka,Командує загоном,Chỉ huy một đội
activity_state.battle_squad_go_to_formation,,Идет к командиру,Goes to the commander,Goes to the commander,Jde za velitelem,Indo ao comandante,Va con el comandante,Idzie do dowódcy,前往指挥官处,正要去找指揮官,指揮官の下へ,지휘관에게 감,Geht zum Kommandanten,Va voir le commandant,Va dal comandante,Kumandana gidiyor,A parancsnokhoz megy,Збирається до командира,Đi đến chỉ huy
activity_state.battle_squad_in_formation,,Находится в отряде,Part of a squad,Part of a squad,Součást čety,Parte de um esquadrão,Parte de una escuadra,Część oddziału,部队成员,部隊集合中,部隊の一員,분대의 일원,Teil eines Trupps,Appartient à une escouade,Parte di una squadra,Bölüğün üyesi,Egy osztag tagja,У загоні,Là một phần của đội
activity_state.battle_win,,Радуется победе,Rejoices in victory,Rejoices in victory,Raduje se z vítězství,Celebrando a vitória,Se alegra con la victoria,Raduje się zwycięstwem,为胜利欢呼,慶祝勝利中,勝利に喜ぶ,승리에 크게 기뻐함,Jubiliert siegreich,Se réjouit de la victoire,Gioisce della vittoria,Zaferi kutluyor,Örül a győzelemnek,Радіє перемозі,Vui mừng vì chiến thắng
activity_state.book_reading.go_to,,Идет читать стихи,Goes to read poetry,Goes to read poetry,Jde si číst poezii,Indo ler poesia,Va a leer poesía,Idzie czytać poezję,前去朗诵诗歌,正要去讀詩,詩を読みに行く,시를 읽으러 감,Möchte Poesie lesen,Va lire de la poésie,Va a leggere poesie,Şiir okumaya gidiyor,Verseket olvasni megy,Збирається читати поезію,Đi đọc thơ
activity_state.book_reading.process,,Читает стихи,Reading poetry,Reading poetry,Čte poezii,Lendo poesia,Leyendo poesía,Czyta poezję,朗诵诗歌,讀詩中,詩を読む,시를 읽는 중,Liest Poesie,Lit de la poésie,Legge poesie,Şiir okuyor,Verseket olvas,Читає поезію,Đọc thơ
activity_state.burning.process,,Горит в агонии,Burning in agony,Burning in agony,Svíjí se v bolestech,Agonizando,Sufriendo una agonía,Płonie w męczarniach,在痛苦中燃烧,在著火燃燒中掙扎,苦悶に焼かれている,고통 속에 불타는 중,Leidet Qualen,Agonise dans les flammes,Brucia agonizzante,Can çekişiyor,Kínban ég,Горить в агонії,Cháy trong đau đớn
activity_state.caravaneer.trade.go_to,,Идет торговать,Goes to trade,Goes to trade,Jde obchodovat,Indo comerciar,Va a comerciar,Idzie handlować,前去交易,前往交易中,貿易に行く,거래하러 감,Unterwegs zum Handeln,Va faire des affaires,Va a commerciare,Ticaret yapmaya gidiyor,Kereskedni megy,Збирається торгувати,Đi giao dịch
activity_state.caravaneer.trade.process,,Готов торговать,Ready to trade,Ready to trade,Může obchodovat,Disponível para comerciar,Con predisposición para comerciar,Chce handlować,准备交易,等待交易中,取引の準備完了,거래 준비 완료,Bereit zum Handeln,S'apprête à faire des affaires,Commercia,Ticaret yapmaya hazır,Készen áll kereskedni,У готовності до торгу,Sẵn sàng giao dịch
activity_state.slave.trade.go_to,,Идет за торговцем,Goes to caravaneer,Goes to caravaneer,Jde za karavanářem,Indo ao mestre da caravana,Va al caravanero,Idzie do szefa karawany,前往商队所在地,正要去找商隊旅人,キャラバン隊の下へ行く,상단 상인에게 감,Unterwegs zum Karawanier,Se rend à la caravane,Va dal carovaniere,Kervancıya gidiyor,Karavánvezetőnek megy,Збирається до караванника,Trên đường đến đoàn lữ hành
