Key,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
actor.deep_social_alias.abuse_1,{name_initiator} humiliated {name_target},{name_initiator} унизил {name_target},{name_initiator} humiliated {name_target},{name_initiator} humiliated {name_target},{name_initiator} ztrapňuje osobu {name_target},{name_initiator} humilhou {name_target},{name_initiator} ha humillado a {name_target},{name_initiator} poniża {name_target},{name_initiator}羞辱了{name_target},{name_initiator}當眾讓{name_target}難堪,{name_initiator}は{name_target}に恥をかかせた,{name_initiator}이(가) {name_target}에게 굴욕을 주었습니다.,{name_initiator} hat {name_target} erniedrigt,{name_initiator} a humilié {name_target},{name_initiator} ha umiliato {name_target},"{name_initiator}, {name_target} ile dalga geçti.",{name_initiator} megalázta {name_target} nemest,{name_initiator} принижує: {name_target},{name_initiator} đã làm nhục {name_target}
actor.deep_social_alias.abuse_2,{name_initiator} insulted {name_target},{name_initiator} оскорбил {name_target},{name_initiator} insulted {name_target},{name_initiator} insulted {name_target},{name_initiator} uráží osobu {name_target},{name_initiator} insultou {name_target},{name_initiator} ha insultado a {name_target},{name_initiator} obraża {name_target},{name_initiator}侮辱了{name_target},{name_initiator}咒罵了{name_target},{name_initiator}は{name_target}を侮辱した,{name_initiator}이(가) {name_target}을(를) 모욕했습니다.,{name_initiator} hat {name_target} beleidigt,{name_initiator} a insulté {name_target},{name_initiator} ha insultato {name_target},"{name_target}, {name_initiator} tarafından hakarete maruz kaldı.",{name_initiator} megsértette {name_target} nemest,{name_initiator} ображає: {name_target},{name_initiator} đã xúc phạm {name_target}
actor.deep_social_alias.abuse_3,{name_initiator} slandered {name_target},{name_initiator} обругал {name_target},{name_initiator} berated {name_target},{name_initiator} berated {name_target},{name_initiator} nadává osobě {name_target},{name_initiator} repreendeu {name_target},{name_initiator} ha reprendido a {name_target},{name_initiator} beszta {name_target},{name_initiator}斥责了{name_target},{name_initiator}數落了{name_target}一番,{name_initiator}は{name_target}を責めた,{name_initiator}이(가) {name_target}을(를) 질책했습니다.,{name_initiator} hat {name_target} beschimpft,{name_initiator} a réprimandé {name_target},{name_initiator} ha ingiuriato {name_target},"{name_target}, {name_initiator} tarafından azarlandı.",{name_initiator} lehordta {name_target} nemest,{name_initiator} зраджує: {name_target},{name_initiator} đã mắng mỏ {name_target}
actor.deep_social_alias.abuse_4,{name_initiator} wiped feet on {name_target},{name_initiator} вытер ноги о {name_target},{name_initiator} wiped their feet on {name_target},{name_initiator} wiped their feet on {name_target},{name_initiator} zametá s osobou {name_target},{name_initiator} pisou em {name_target},{name_initiator} se ha limpiado las suelas con {name_target},{name_initiator} wyciera stopy o {name_target},{name_initiator}把脚踩在了{name_target}身上,{name_initiator}在{name_target}身上擦鞋,{name_initiator}は{name_target}で靴の汚れを落とさせた,{name_initiator}이(가) {name_target}에게 발을 닦았습니다.,{name_initiator} hat sich an {name_target} die Füße abgetreten,{name_initiator} a malmené {name_target},{name_initiator} ha oltraggiato {name_target},{name_initiator} ayağını {name_target} ile sildi.,{name_initiator} beletörölte a lábát {name_target} nemesbe,{name_initiator} витирає ноги об: {name_target},{name_initiator} đã lau chân lên {name_target}
actor.deep_social_alias.abuse_5,{name_initiator} trampled in the dirt {name_target},{name_initiator} втоптал в грязь {name_target},{name_initiator} trampled {name_target} in the mud,{name_initiator} trampled {name_target} in the mud,{name_initiator} zadupává osobu {name_target} do bláta,{name_initiator} pisoteou {name_target} na lama,{name_initiator} ha pisoteado a {name_target},{name_initiator} spycha w błoto {name_target},{name_initiator}践踏了{name_target},{name_initiator}故意害{name_target}在泥濘裡跌了一跤,{name_initiator}は泥の中で{name_target}を踏みつけた,{name_initiator}이(가) {name_target}을(를) 진흙 속에서 짓밟았습니다.,{name_initiator} ist im Schlamm auf {name_target} herumgetrampelt,{name_initiator} a traîné {name_target} dans la boue,{name_initiator} ha trascinato {name_target} nel fango,"{name_target}, {name_initiator} tarafından çamura batırıldı.",{name_initiator} sárba taposta {name_target} nemest,{name_initiator} втоптує в багно: {name_target},{name_initiator} đã dẫm đạp {name_target} vào bùn
actor.deep_social_alias.abuse_6,{name_initiator} morally destroyed {name_target},{name_initiator} морально уничтожил {name_target},{name_initiator} emotionally destroyed {name_target},{name_initiator} emotionally destroyed {name_target},{name_initiator} citově ničí osobu {name_target},{name_initiator} destruiu {name_target} emocionalmente,{name_initiator} ha destruido emocionalmente a {name_target},{name_initiator} niszczy emocjonalnie {name_target},{name_initiator}让{name_target}的心理防线崩溃了,{name_initiator}對{name_target}精神霸凌,{name_initiator}は{name_target}を精神的に崩壊させた,{name_initiator}이(가) {name_target}의 감정에 상처를 주었습니다.,{name_initiator} hat {name_target} emotional zerstört,{name_initiator} a détruit {name_target} émotionnellement,{name_initiator} ha distrutto {name_target} emotivamente,"{name_target}, {name_initiator} tarafından duygusal olarak mahvedildi.",{name_initiator} érzelmileg megsemmisítette {name_target} nemest,{name_initiator} емоційно знищує: {name_target},{name_initiator} đã tàn phá tinh thần {name_target}
actor.deep_social_alias.abuse_7,{name_initiator} made {name_target} shut up,{name_initiator} заставил заткнуться {name_target},{name_initiator} silenced {name_target},{name_initiator} silenced {name_target},{name_initiator} umlčuje osobu {name_target},{name_initiator} silenciou {name_target},{name_initiator} ha silenciado a {name_target},{name_initiator} ucisza {name_target},{name_initiator}让{name_target}沉默了,{name_initiator}叫{name_target}閉嘴,{name_initiator}は{name_target}を黙らせた,{name_initiator}이(가) {name_target}을(를) 침묵시켰습니다.,{name_initiator} hat {name_target} zum Schweigen gebracht,{name_initiator} a réduit {name_target} au silence,{name_initiator} ha zittito {name_target},"{name_target}, {name_initiator} tarafından susturuldu.",{name_initiator} elhallgattatta {name_target} nemest,{name_initiator} змушує замовкнути: {name_target},{name_initiator} đã làm {name_target} im lặng
actor.deep_social_alias.deep_talk_1,{name_initiator} praised {name_target},{name_initiator} похвалил {name_target},{name_initiator} praised {name_target},{name_initiator} praised {name_target},{name_initiator} chválí osobu {name_target},{name_initiator} enalteceu {name_target},{name_initiator} ha alabado a {name_target},{name_initiator} chwali {name_target},{name_initiator}称赞了{name_target},{name_initiator}恭維了{name_target},{name_initiator}は{name_target}を褒め称えた,{name_initiator}이(가) {name_target}을(를) 칭찬했습니다.,{name_initiator} hat {name_target} gelobt,{name_initiator} a encensé {name_target},{name_initiator} ha elogiato {name_target},"{name_target}, {name_initiator} tarafından övüldü.",{name_initiator} felmagasztalta {name_target} nemest,{name_initiator} хвалить: {name_target},{name_initiator} đã khen ngợi {name_target}
actor.deep_social_alias.deep_talk_2,{name_initiator} had a heartfelt conversation with {name_target},{name_initiator} душевно поговорили с {name_target},{name_initiator} had a heartfelt conversation with {name_target},{name_initiator} had a heartfelt conversation with {name_target},{name_initiator} má procítěný rozhovor s osobou {name_target},{name_initiator} teve uma conversa sincera com {name_target},{name_initiator} ha tenido una conversación sincera con {name_target},{name_initiator} odbywa serdeczną rozmowę z {name_target},{name_initiator}与{name_target}进行了诚挚交流,{name_initiator}與{name_target}談了心,{name_initiator}は{name_target}と心温まる会話をした,{name_initiator}이(가) {name_target}와(과) 깊은 대화를 나눴습니다.,{name_initiator} hatte ein herzliches Gespräch mit {name_target},{name_initiator} a eu une conversation sincère avec {name_target},{name_initiator} ha avuto una conversazione sincera con {name_target},"{name_initiator}, {name_target} ile samimi bir konuşma yaptı.",{name_initiator} szívbéli beszélgetést folytatott {name_target} nemessel,{name_initiator} щиро розмовляє із: {name_target},{name_initiator} đã có một cuộc trò chuyện chân thành với {name_target}
actor.deep_social_alias.deep_talk_3,{name_initiator} consoled {name_target},{name_initiator} утешил {name_target},{name_initiator} comforted {name_target},{name_initiator} comforted {name_target},{name_initiator} utěšuje osobu {name_target},{name_initiator} confortou {name_target},{name_initiator} ha consolado a {name_target},{name_initiator} pociesza {name_target},{name_initiator}安慰了{name_target},{name_initiator}撫慰了{name_target},{name_initiator}は{name_target}を慰めた,{name_initiator}이(가) {name_target}을(를) 위로했습니다.,{name_initiator} hat {name_target} getröstet,{name_initiator} a réconforté {name_target},{name_initiator} ha confortato {name_target},"{name_target}, {name_initiator} tarafından teselli edildi.",{name_initiator} megvigasztalta {name_target} nemest,{name_initiator} втішає: {name_target},{name_initiator} đã an ủi {name_target}
